season,opponent,result,efg,pm,pa,pmp,tpm,tpa,tmp,tmpa,fpa,fpt,tft
2011-12,Georgia Tech,W,62.3,23,45,51.1,10,16,62.5,26.20%,17,25,68
2011-12,NC State,W,52.3,26,48,54.2,5,16,31.2,25.00%,7,13,53.8
2011-12,Virginia Tech,W,48.5,26,52,50,4,14,28.6,21.20%,18,21,85.7
2011-12,Florida State,L,40.7,18,38,47.4,4,21,19,35.60%,9,20,45
2011-12,Miami,W,46.4,29,53,54.7,2,16,12.5,23.20%,9,14,64.3
2011-12,Boston College,W,50.8,26,52,50,5,14,35.7,21.20%,16,21,76.2
2011-12,Monmouth,W,60.3,29,47,61.7,8,21,38.1,30.90%,20,33,60.6
2011-12,Elon,W,50,34,69,49.3,5,14,35.7,16.90%,17,25,68
2011-12,Texas,W,46.8,25,56,44.6,3,7,42.9,11.10%,23,31,74.2
2011-12,Nicholls State,W,45.9,33,66,50,4,19,21.1,22.40%,21,41,51.2
2011-12,Appalachian State,W,56.1,34,56,60.7,2,10,20,15.20%,23,33,69.7
2011-12,Long Beach State,W,55.9,29,52,55.8,6,16,37.5,23.50%,8,10,80
2011-12,Evansville,W,53.8,25,47,53.2,7,19,36.8,28.80%,26,43,60.5
2011-12,Kentucky,L,50.8,14,42,33.3,11,18,61.1,30.00%,11,14,78.6
2011-12,Wisconsin,W,45.6,16,36,44.4,3,9,33.3,20.00%,19,24,79.2
2011-12,UNLV,L,45.5,24,57,42.1,4,9,44.4,13.60%,20,33,60.6
2011-12,South Carolina,W,52.2,23,51,45.1,8,16,50,23.90%,17,30,56.7
2011-12,Tennessee State,W,70.5,30,48,62.5,11,18,61.1,27.30%,9,16,56.3
2011-12,Mississippi Valley St.,W,48.9,35,68,51.5,5,19,26.3,21.80%,16,31,51.6
2011-12,Asheville,W,61.1,30,47,63.8,2,7,28.6,13.00%,25,35,71.4
2011-12,Michigan State,W,51,20,39,51.3,4,12,33.3,23.50%,15,23,65.2
2010-11,Kentucky,L,46,24,46,52.2,3,16,18.8,25.80%,12,15,80
2010-11,Marquette,W,45.3,26,58,44.8,5,16,31.2,21.60%,14,21,66.7
2010-11,Washington,W,51.5,25,54,46.3,6,12,50,18.20%,18,23,78.3
2010-11,LIU,W,53,31,50,62,3,17,17.6,25.40%,31,42,73.8
2010-11,Duke,L,35.5,19,54,35.2,2,8,25,12.90%,14,21,66.7
2010-11,Clemson,W,54.8,22,46,47.8,8,16,50,25.80%,24,34,70.6
2010-11,Miami,W,54,12,29,41.4,10,21,47.6,42.00%,7,10,70
2010-11,Duke,W,55.6,29,54,53.7,4,9,44.4,14.30%,11,21,52.4
2010-11,Florida State,W,52.7,20,43,46.5,6,12,50,21.80%,14,18,77.8
2010-11,Maryland,W,43.8,26,59,44.1,6,21,28.6,26.30%,17,22,77.3
2010-11,NC State,W,46.2,23,50,46,5,16,31.2,24.20%,14,18,77.8
2010-11,Boston College,W,38.6,19,46,41.3,2,11,18.2,19.30%,4,8,50
2010-11,Wake Forest,W,40.1,21,44,47.7,5,27,18.5,38.00%,21,28,75
2010-11,Clemson,W,39.6,18,39,46.2,2,14,14.3,26.40%,22,32,68.8
2010-11,Duke,L,44.1,27,54,50,2,14,14.3,20.60%,13,22,59.1
2010-11,Florida State,W,62.3,26,41,63.4,8,20,40,32.80%,13,21,61.9
2010-11,Boston College,W,65.4,28,47,59.6,11,21,52.4,30.90%,17,20,85
2010-11,NC State,W,50,29,54,53.7,4,16,25,22.90%,14,24,58.3
2010-11,Miami,W,53.5,22,42,52.4,6,16,37.5,27.60%,12,14,85.7
2010-11,Clemson,W,50,23,42,54.8,4,16,25,27.60%,17,25,68
2010-11,Georgia Tech,L,29.3,14,46,30.4,2,12,16.7,20.70%,24,32,75
2010-11,Virginia Tech,W,45.2,21,42,50,5,21,23.8,33.30%,7,17,41.2
2010-11,UVA,W,39.8,17,43,39.5,3,11,27.3,20.40%,19,27,70.4
2010-11,St. Francis PA,W,65.2,31,49,63.3,8,17,47.1,25.80%,17,27,63
2010-11,Rutgers,W,55.6,18,39,46.2,11,23,47.8,37.10%,9,18,50
2010-11,William & Mary,W,48.6,25,50,50,7,23,30.4,31.50%,14,21,66.7
2010-11,Texas,L,46.2,26,55,47.3,3,11,27.3,16.70%,15,20,75
2010-11,Long Beach State,W,64.8,25,41,61,11,23,47.8,35.90%,13,22,59.1
2010-11,Evansville,W,46.3,19,36,52.8,4,18,22.2,33.30%,26,36,72.2
2010-11,Kentucky,W,42.2,23,47,48.9,1,11,9.1,19.00%,26,37,70.3
2010-11,Illinois,L,50.9,22,43,51.2,5,15,33.3,25.90%,8,17,47.1
2010-11,College of Charleston,W,48.3,26,52,50,2,8,25,13.30%,16,27,59.3
2010-11,Asheville,W,49.1,24,49,49,3,9,33.3,15.50%,23,31,74.2
2010-11,Vanderbilt,L,43.5,19,43,44.2,3,11,27.3,20.40%,18,27,66.7
2010-11,Minnesota,L,40,20,47,42.6,4,18,22.2,27.70%,15,25,60
2010-11,Hofstra,W,64.8,28,54,51.9,12,17,70.6,23.90%,15,26,57.7
2010-11,Lipscomb,W,50.8,26,50,52,4,13,30.8,20.60%,16,29,55.2
2009-10,Dayton,L,50.9,18,38,47.4,8,21,38.1,35.60%,8,15,53.3
2009-10,Rhode Island ,W,36.1,27,66,40.9,2,17,11.8,20.50%,8,16,50
2009-10,UAB,W,44.3,19,39,48.7,3,14,21.4,26.40%,13,20,65
2009-10,Mississippi State,W,52.3,27,52,51.9,5,14,35.7,21.20%,7,10,70
2009-10,William & Mary,W,54.4,22,40,55,6,17,35.3,29.80%,18,26,69.2
2009-10,Georgia Tech,L,34.8,21,53,39.6,2,16,12.5,23.20%,10,14,71.4
2009-10,Duke,L,34.4,15,43,34.9,1,5,20,10.40%,17,26,65.4
2009-10,Miami,W,45.6,17,39,43.6,6,18,33.3,31.60%,17,23,73.9
2009-10,Wake Forest,W,44.6,20,49,40.8,6,16,37.5,24.60%,19,33,57.6
2009-10,Florida State,L,48,15,33,45.5,6,17,35.3,34.00%,19,28,67.9
2009-10,Boston College,L,39.8,24,56,42.9,1,8,12.5,12.50%,16,24,66.7
2009-10,Georgia Tech,L,34.8,16,44,36.4,3,15,20,25.40%,10,24,41.7
2009-10,NC State,W,45.8,20,45,44.4,5,15,33.3,25.00%,19,29,65.5
2009-10,Duke,L,38.8,15,39,38.5,5,19,26.3,32.80%,9,16,56.3
2009-10,Maryland,L,41.3,21,53,39.6,5,16,31.2,23.20%,14,21,66.7
2009-10,Virginia Tech,L,47.2,19,38,50,4,15,26.7,28.30%,20,30,66.7
2009-10,UVA,L,43.8,11,34,32.4,9,22,40.9,39.30%,11,22,50
2009-10,NC State,W,56.1,23,44,52.3,6,13,46.2,22.80%,13,22,59.1
2009-10,Wake Forest,L,40.9,20,45,44.4,6,26,23.1,36.60%,11,15,73.3
2009-10,Georgia Tech,L,44,15,41,36.6,7,17,41.2,29.30%,20,24,83.3
2009-10,Clemson,L,46.7,24,49,49,3,12,25,19.70%,7,10,70
2009-10,Virginia Tech,W,58.6,23,36,63.9,5,16,31.2,30.80%,17,22,77.3
2009-10,College of Charleston ,L,38.7,26,65,40,1,6,16.7,8.50%,24,34,70.6
2009-10,Albany,W,53,29,55,52.7,4,11,36.4,16.70%,17,27,63
2009-10,Rutgers,W,48.3,24,52,46.2,3,7,42.9,11.90%,24,35,68.6
2009-10,Marshall,W,52.8,27,60,45,7,11,63.6,15.50%,23,29,79.3
2009-10,Texas,L,52.7,29,62,46.8,7,13,53.8,17.30%,11,19,57.9
2009-10,Presbyterian,W,58.8,33,51,64.7,7,23,30.4,31.10%,16,22,72.7
2009-10,Kentucky,L,44,19,47,40.4,7,20,35,29.90%,7,13,53.8
2009-10,Michigan State,W,62.3,28,47,59.6,5,10,50,17.50%,18,30,60
2009-10,Nevada,W,50,28,58,48.3,4,10,40,14.70%,12,24,50
2009-10,Gardner Webb,W,56.8,36,62,58.1,1,4,25,6.10%,18,33,54.5
2009-10,Syracuse,L,41.3,20,47,42.6,4,16,25,25.40%,19,26,73.1
2009-10,Ohio State,W,55.7,19,38,50,7,15,46.7,28.30%,18,25,72
2009-10,Valparaiso,W,61.4,26,42,61.9,6,15,40,26.30%,18,29,62.1
2009-10,NC Central,W,63.6,30,46,65.2,5,13,38.5,22.00%,14,19,73.7
2009-10,FIU,W,59,30,48,62.5,4,13,30.8,21.30%,16,19,84.2
2008-09,Michigan State,W,50,23,49,46.9,5,12,41.7,19.70%,28,40,70
2008-09,Villanova,W,49.2,14,40,35,11,22,50,35.50%,22,37,59.5
2008-09,Oklahoma,W,55.9,21,37,56.8,5,14,35.7,27.50%,15,16,93.8
2008-09,Gonzaga,W,61,25,49,51,11,19,57.9,27.90%,15,27,55.6
2008-09,LSU,W,59.3,26,46,56.5,6,13,46.2,22.00%,14,18,77.8
2008-09,Radford,W,48.2,33,70,47.1,5,14,35.7,16.70%,20,24,83.3
2008-09,Florida State,L,40.7,18,44,40.9,4,15,26.7,25.40%,22,29,75.9
2008-09,Virginia Tech,W,49.2,23,46,50,6,19,31.6,29.20%,15,21,71.4
2008-09,Duke,W,58.5,22,41,53.7,6,12,50,22.60%,17,25,68
2008-09,Virginia Tech,W,45.5,21,47,44.7,6,19,31.6,28.80%,26,34,76.5
2008-09,Georgia Tech,W,56.5,33,55,60,4,14,28.6,20.30%,26,29,89.7
2008-09,Maryland,L,40.9,24,58,41.4,5,19,26.3,24.70%,22,28,78.6
2008-09,NC State,W,58.5,32,53,60.4,4,12,33.3,18.50%,13,15,86.7
2008-09,Miami,W,46.3,16,42,38.1,10,25,40,37.30%,7,8,87.5
2008-09,Duke,W,59.7,28,47,59.6,6,15,40,24.20%,27,31,87.1
2008-09,UVA,W,48.5,19,42,45.2,9,25,36,37.30%,11,17,64.7
2008-09,Maryland,W,62.9,20,45,44.4,16,25,64,35.70%,20,27,74.1
2008-09,NC State,W,60.5,30,47,63.8,5,15,33.3,24.20%,18,20,90
2008-09,Florida State,W,43.6,17,44,38.6,7,19,36.8,30.20%,25,32,78.1
2008-09,Clemson,W,56.8,30,50,60,5,16,31.2,24.20%,19,27,70.4
2008-09,Miami,W,53.2,17,40,42.5,11,23,47.8,36.50%,15,18,83.3
2008-09,UVA,W,46.1,22,50,44,5,14,35.7,21.90%,24,28,85.7
2008-09,Wake Forest,L,39.2,20,51,39.2,6,23,26.1,31.10%,31,38,81.6
2008-09,College of Charleston,W,63.6,34,55,61.8,7,15,46.7,21.40%,19,22,86.4
2008-09,Boston College,L,43.1,21,51,41.2,7,22,31.8,30.10%,15,27,55.6
2008-09,Nevada,W,55.1,25,44,56.8,5,15,33.3,25.40%,19,27,70.4
2008-09,Rutgers,W,54.4,31,54,57.4,4,14,28.6,20.60%,23,28,82.1
2008-09,Valparaiso,W,53.6,18,29,62.1,8,27,29.6,48.20%,25,31,80.6
2008-09,Evansville,W,54.5,27,50,54,6,16,37.5,24.20%,19,26,73.1
2008-09,Oral Roberts,W,56.5,33,58,56.9,4,11,36.4,15.90%,22,30,73.3
2008-09,Michigan State,W,52.1,28,52,53.8,6,19,31.6,26.80%,24,29,82.8
2008-09,Asheville,W,66.2,30,50,60,14,27,51.9,35.10%,14,21,66.7
2008-09,Notre Dame,W,59.3,34,57,59.6,5,13,38.5,18.60%,19,21,90.5
2008-09,Oregon,W,58.5,23,42,54.8,10,23,43.5,35.40%,22,33,66.7
2008-09,Chaminade,W,67.1,38,57,66.7,10,22,45.5,27.80%,9,17,52.9
2008-09,UC Santa Barbara,W,52.5,22,40,55,6,19,31.6,32.20%,22,31,71
2008-09,Kentucky,W,46.4,22,57,38.6,7,13,53.8,18.60%,12,18,66.7
2008-09,Penn,W,52.5,21,38,55.3,7,22,31.8,36.70%,23,33,69.7
2007-08,Kansas,L,39.5,19,43,44.2,5,24,20.8,35.80%,13,15,86.7
2007-08,Louisville,W,56,28,47,59.6,3,11,27.3,19.00%,18,21,85.7
2007-08,Washington State,W,47.4,20,43,46.5,5,15,33.3,25.90%,13,19,68.4
2007-08,Arkansas,W,73.8,36,49,73.5,8,16,50,24.60%,12,17,70.6
2007-08,Mount St. Mary's,W,65.5,36,55,65.5,7,16,43.8,22.50%,20,25,80
2007-08,Clemson,W,52.2,30,59,50.8,4,10,40,14.50%,14,24,58.3
2007-08,Virginia Tech,W,44.2,19,46,41.3,5,14,35.7,23.30%,15,19,78.9
2007-08,Florida State,W,57.9,24,44,54.5,6,13,46.2,22.80%,16,24,66.7
2007-08,Duke,W,44.1,26,65,40,5,11,45.5,14.50%,9,12,75
2007-08,Florida State,W,59.6,25,41,61,6,16,37.5,28.10%,22,29,75.9
2007-08,Boston College,W,56.8,23,43,53.5,7,16,43.8,27.10%,23,26,88.5
2007-08,Wake Forest,W,63,21,36,58.3,7,14,50,28.00%,26,34,76.5
2007-08,NC State,W,55.5,31,58,53.4,3,6,50,9.40%,13,18,72.2
2007-08,Virginia Tech,W,54.7,26,50,52,6,14,42.9,21.90%,22,29,75.9
2007-08,UVA,W,57.6,25,43,58.1,6,16,37.5,27.10%,7,12,58.3
2007-08,Clemson,W,49.3,24,55,43.6,8,18,44.4,24.70%,31,36,86.1
2007-08,Duke,L,42.8,25,52,48.1,3,17,17.6,24.60%,19,30,63.3
2007-08,Florida State ,W,46.7,21,48,43.8,5,13,38.5,21.30%,27,33,81.8
2007-08,Boston College,W,54.4,31,52,59.6,4,16,25,23.50%,17,25,68
2007-08,Miami,W,50.7,32,65,49.2,4,10,40,13.30%,22,24,91.7
2007-08,Maryland,L,42.4,23,56,41.1,7,23,30.4,29.10%,13,15,86.7
2007-08,Georgia Tech,W,49.2,28,53,52.8,2,10,20,15.90%,21,26,80.8
2007-08,NC State,W,52.7,30,63,47.6,6,11,54.5,14.90%,15,18,83.3
2007-08,Asheville,W,47.4,26,58,44.8,7,19,36.8,24.70%,20,26,76.9
2007-08,Clemson,W,45.8,24,56,42.9,6,16,37.5,22.20%,24,30,80
2007-08,Kent State,W,56.1,29,52,55.8,5,13,38.5,20.00%,17,20,85
2007-08,Valparaiso,W,57.7,24,44,54.5,9,21,42.9,32.30%,15,20,75
2007-08,Nevada,W,59.9,29,53,54.7,9,18,50,25.40%,21,25,84
2007-08,UC Santa Barbara,W,59.1,41,61,67.2,3,16,18.8,20.80%,14,24,58.3
2007-08,Nicholls State,W,50.9,25,46,54.3,3,12,25,20.70%,29,39,74.4
2007-08,Rutgers,W,46.2,28,65,43.1,6,15,40,18.80%,19,21,90.5
2007-08,Penn,W,58.7,41,68,60.3,2,7,28.6,9.30%,18,26,69.2
2007-08,Kentucky,W,48.4,19,47,40.4,7,14,50,23.00%,27,34,79.4
2007-08,Ohio State,W,41.5,22,53,41.5,5,18,27.8,25.40%,7,14,50
2007-08,BYU,W,42.4,22,48,45.8,2,11,18.2,18.60%,23,30,76.7
2007-08,Old Dominion,W,77.3,32,44,72.7,7,11,63.6,20.00%,14,22,63.6
2007-08,South Carolina State,W,60.5,27,45,60,9,22,40.9,32.80%,29,39,74.4
2007-08,Iona,W,58.7,22,39,56.4,10,24,41.7,38.10%,33,46,71.7
2007-08,Davidson,W,50,20,39,51.3,4,13,30.8,25.00%,20,28,71.4
2006-07,Georgetown ,L,38.7,20,51,39.2,5,20,25,28.20%,29,34,85.3
2006-07,USC,W,40.3,28,63,44.4,2,14,14.3,18.20%,12,17,70.6
2006-07,Michigan State,W,53.9,19,36,52.8,6,16,37.5,30.80%,25,34,73.5
2006-07,EKU,W,70.2,31,44,70.5,6,13,46.2,22.80%,6,11,54.5
2006-07,NC State,W,63.5,24,42,57.1,6,10,60,19.20%,23,24,95.8
2006-07,Boston College,W,51.6,26,49,53.1,4,13,30.8,21.00%,7,9,77.8
2006-07,Florida State,W,58.8,21,37,56.8,6,14,42.9,27.50%,13,25,52
2006-07,Duke,W,51.6,29,53,54.7,2,9,22.2,14.50%,22,27,81.5
2006-07,Georgia Tech,L,52,21,35,60,3,14,21.4,28.60%,26,38,68.4
2006-07,Maryland,L,52.7,29,55,52.7,7,20,35,26.70%,8,17,47.1
2006-07,NC State,W,54,26,51,51,5,11,45.5,17.70%,16,22,72.7
2006-07,Boston College,W,56.5,23,43,53.5,5,11,45.5,20.40%,16,20,80
2006-07,Virginia Tech,L,42.3,23,48,47.9,3,17,17.6,26.20%,25,37,67.6
2006-07,Wake Forest,W,59.4,26,43,60.5,8,21,38.1,32.80%,28,34,82.4
2006-07,Duke,W,53.3,28,49,57.1,3,12,25,19.70%,14,18,77.8
2006-07,NC State,L,51.6,26,47,55.3,4,15,26.7,24.20%,15,20,75
2006-07,Miami,W,65.6,24,40,60,12,24,50,37.50%,21,27,77.8
2006-07,Arizona,W,54.6,34,54,63,5,22,22.7,28.90%,9,13,69.2
2006-07,Wake Forest,W,62.9,26,39,66.7,7,19,36.8,32.80%,15,21,71.4
2006-07,Georgia Tech,W,52.7,20,43,46.5,6,12,50,21.80%,19,27,70.4
2006-07,Clemson,W,54.2,28,52,53.8,3,8,37.5,13.30%,12,17,70.6
2006-07,Virginia Tech,L,49.3,24,47,51.1,8,26,30.8,35.60%,16,29,55.2
2006-07,UVA,W,40.1,22,53,41.5,3,13,23.1,19.70%,26,41,63.4
2006-07,Florida State,W,50,29,53,54.7,4,17,23.5,24.30%,14,16,87.5
2006-07,Penn,W,60.3,29,51,56.9,8,17,47.1,25.00%,20,26,76.9
2006-07,Dayton,W,59.5,24,41,58.5,7,17,41.2,29.30%,12,18,66.7
2006-07,Rutgers,W,61.7,25,45,55.6,8,15,53.3,25.00%,13,18,72.2
2006-07,Saint Louis,W,48.3,18,44,40.9,7,15,46.7,25.40%,12,18,66.7
2006-07,Florida Atlantic,W,72.3,30,41,73.2,7,15,46.7,26.80%,24,30,80
2006-07,Asheville,W,52,30,60,50,6,15,40,20.00%,15,22,68.2
2006-07,High Point,W,67.3,31,42,73.8,4,13,30.8,23.60%,20,31,64.5
2006-07,Kentucky,W,44,16,46,34.8,9,21,42.9,31.30%,16,22,72.7
2006-07,Ohio State,W,59.4,26,46,56.5,8,18,44.4,28.10%,22,34,64.7
2006-07,Tennessee,W,60.3,29,52,55.8,6,11,54.5,17.50%,25,33,75.8
2006-07,Gonzaga,L,41.2,19,41,46.3,6,27,22.2,39.70%,18,30,60
2006-07,Gardner Webb,W,57.6,29,50,58,6,16,37.5,24.20%,27,33,81.8
2006-07,Winthrop,W,55.4,25,40,62.5,4,16,25,28.60%,11,19,57.9
2006-07,Sacred Heart,W,63.2,34,54,63,6,14,42.9,20.60%,17,28,60.7
2005-06,George Mason,L,43.8,13,34,38.2,10,30,33.3,46.90%,4,4,100
2005-06,Murray State,W,51,17,30,56.7,5,18,27.8,37.50%,20,25,80
2005-06,Boston College,L,56.2,18,37,48.6,12,27,44.4,42.20%,10,16,62.5
2005-06,UVA,W,56.1,20,35,57.1,5,14,35.7,28.60%,24,33,72.7
2005-06,Duke,W,47.8,25,52,48.1,5,16,31.2,23.50%,18,23,78.3
2005-06,UVA,W,68.6,24,39,61.5,11,20,55,33.90%,18,25,72
2005-06,Maryland,W,45.9,23,57,40.4,7,16,43.8,21.90%,14,22,63.6
2005-06,NC State,W,60.9,27,43,62.8,10,26,38.5,37.70%,11,17,64.7
2005-06,Wake Forest,W,56.7,19,33,57.6,7,19,36.8,36.50%,24,30,80
2005-06,Georgia Tech,W,52.7,25,41,61,3,15,20,26.80%,23,35,65.7
2005-06,Miami,W,62.5,23,38,60.5,8,18,44.4,32.10%,10,17,58.8
2005-06,Duke,L,44.8,21,51,41.2,6,16,37.5,23.90%,23,29,79.3
2005-06,Clemson,W,53,22,38,57.9,3,12,25,24.00%,23,29,79.3
2005-06,Maryland,W,52.4,19,40,47.5,9,22,40.9,35.50%,12,17,70.6
2005-06,Arizona,W,64.2,25,43,58.1,9,17,52.9,28.30%,9,14,64.3
2005-06,Boston College,L,57,15,29,51.7,9,21,42.9,42.00%,17,22,77.3
2005-06,Florida State,W,67.6,17,33,51.5,13,21,61.9,38.90%,8,13,61.5
2005-06,UVA,L,42,17,43,39.5,8,26,30.8,37.70%,10,14,71.4
2005-06,Miami,L,47.3,14,30,46.7,8,25,32,45.50%,18,20,90
2005-06,Virginia Tech,W,55.4,15,31,48.4,7,15,46.7,32.60%,13,20,65
2005-06,NC State,W,59.6,19,34,55.9,6,13,46.2,27.70%,26,28,92.9
2005-06,Davidson,W,50,27,53,50.9,3,10,30,15.90%,19,30,63.3
2005-06,Asheville,W,47,27,54,50,3,13,23.1,19.40%,26,33,78.8
2005-06,USC,L,43.5,13,31,41.9,7,23,30.4,42.60%,12,23,52.2
2005-06,Santa Clara,W,56,19,33,57.6,6,17,35.3,34.00%,20,28,71.4
2005-06,Saint Louis,W,56.8,23,40,57.5,7,19,36.8,32.20%,8,13,61.5
2005-06,Kentucky,W,51.7,16,33,48.5,10,27,37,45.00%,21,28,75
2005-06,Illinois,L,47.1,21,38,55.3,2,13,15.4,25.50%,16,23,69.6
2005-06,UC Santa Barbara,W,54.9,26,49,53.1,5,12,41.7,19.70%,16,30,53.3
2005-06,Cleveland State,W,58.6,32,52,61.5,6,18,33.3,25.70%,30,46,65.2
2005-06,Gardner Webb,W,59.8,26,41,63.4,5,15,33.3,26.80%,16,26,61.5
2004-05,Illinois,W,60.6,18,36,50,9,16,56.2,30.80%,12,19,63.2
2004-05,Michigan State,W,53.5,29,51,56.9,6,20,30,28.20%,11,17,64.7
2004-05,Wisconsin,W,57,29,48,60.4,5,16,31.2,25.00%,15,18,83.3
2004-05,Villanova,W,50,12,29,41.4,8,19,42.1,39.60%,19,24,79.2
2004-05,Iowa State,W,53.9,23,40,57.5,8,25,32,38.50%,22,37,59.5
2004-05,Oakland,W,74.1,25,39,64.1,12,19,63.2,32.80%,10,19,52.6
2004-05,Georgia Tech,L,42.6,14,37,37.8,8,24,33.3,39.30%,23,28,82.1
2004-05,Clemson,W,47.2,12,35,34.3,9,19,47.4,35.20%,37,47,78.7
2004-05,Duke,W,41,26,56,46.4,1,11,9.1,16.40%,20,26,76.9
2004-05,Florida State,W,62.7,28,43,65.1,6,16,37.5,27.10%,17,23,73.9
2004-05,Maryland,W,57.3,22,40,55,9,22,40.9,35.50%,14,21,66.7
2004-05,NC State,W,58.5,16,32,50,10,21,47.6,39.60%,19,23,82.6
2004-05,Clemson,W,51.5,32,56,57.1,1,9,11.1,13.80%,21,29,72.4
2004-05,UVA,W,58.8,26,42,61.9,5,15,33.3,26.30%,18,28,64.3
2004-05,Connecticut,W,45.3,23,51,45.1,7,23,30.4,31.10%,10,15,66.7
2004-05,Duke,L,46.5,22,43,51.2,3,14,21.4,24.60%,17,23,73.9
2004-05,Florida State,W,46.1,18,43,41.9,8,22,36.4,33.80%,21,28,75
2004-05,NC State,W,66.4,26,41,63.4,7,14,50,25.50%,22,28,78.6
2004-05,UVA,W,70.8,25,42,59.5,14,23,60.9,35.40%,18,28,64.3
2004-05,Miami,W,52.5,24,40,60,5,20,25,33.30%,24,31,77.4
2004-05,Clemson,W,56.4,22,40,55,6,15,40,27.30%,15,23,65.2
2004-05,Wake Forest,L,45.5,20,42,47.6,7,25,28,37.30%,21,26,80.8
2004-05,Georgia Tech,W,47.8,19,46,41.3,9,22,40.9,32.40%,26,35,74.3
2004-05,Maryland,W,63.8,29,49,59.2,10,20,50,29.00%,21,25,84
2004-05,William & Mary,W,65.6,25,35,71.4,10,26,38.5,42.60%,25,30,83.3
2004-05,Cleveland State,W,63.2,32,52,61.5,9,20,45,27.80%,16,25,64
2004-05,UNC-Wilmington,W,69.6,19,32,59.4,11,19,57.9,37.30%,25,37,67.6
2004-05,Vermont,W,59.2,25,43,58.1,7,17,41.2,28.30%,22,28,78.6
2004-05,Virginia Tech,W,71.9,24,34,70.6,7,14,50,29.20%,16,21,76.2
2004-05,Loyola Chicago,W,65.2,28,48,58.3,10,18,55.6,27.30%,23,27,85.2
2004-05,Kentucky,W,54.2,23,46,50,6,13,46.2,22.00%,27,40,67.5
2004-05,Indiana,W,48.1,14,36,38.9,8,18,44.4,33.30%,18,24,75
2004-05,USC,W,60.7,31,46,67.4,4,15,26.7,24.60%,23,37,62.2
2004-05,Iowa,W,59.5,29,57,50.9,10,17,58.8,23.00%,18,24,75
2004-05,Tennessee,W,66.7,22,35,62.9,8,16,50,31.40%,26,37,70.3
2004-05,BYU,W,49.3,22,43,51.2,8,26,30.8,37.70%,18,23,78.3
2004-05,Santa Clara,L,41.3,17,45,37.8,6,18,33.3,28.60%,14,24,58.3
2003-04,Texas,L,45.4,16,37,43.2,9,28,32.1,43.10%,16,19,84.2
2003-04,Air Force,W,45.3,18,40,45,4,13,30.8,24.50%,15,18,83.3
2003-04,Georgia Tech,L,43.2,21,48,43.8,5,18,27.8,27.30%,25,33,75.8
2003-04,Duke,L,40.8,19,43,44.2,5,22,22.7,33.80%,12,17,70.6
2003-04,Clemson,W,52.3,17,41,41.5,11,23,47.8,35.90%,2,4,50
2003-04,NC State,W,64.4,17,29,58.6,8,16,50,35.60%,13,18,72.2
2003-04,UVA,L,50,24,45,53.3,5,18,27.8,28.60%,9,12,75
2003-04,Florida State,W,51.8,15,34,44.1,9,21,42.9,38.20%,21,37,56.8
2003-04,Maryland,W,59.8,23,37,62.2,5,14,35.7,27.50%,36,50,72
2003-04,Georgia Tech,L,47.9,19,46,41.3,10,25,40,35.20%,9,19,47.4
2003-04,Wake Forest,W,48.4,19,36,52.8,7,25,28,41.00%,20,22,90.9
2003-04,Duke,L,46.6,27,56,48.2,5,18,27.8,24.30%,12,17,70.6
2003-04,Clemson,L,53.5,22,39,56.4,6,19,31.6,32.80%,10,17,58.8
2003-04,NC State,W,50,17,37,45.9,6,15,40,28.80%,16,20,80
2003-04,UVA,W,56.9,28,51,54.9,6,14,42.9,21.50%,22,30,73.3
2003-04,Florida State,L,54.7,17,35,48.6,12,29,41.4,45.30%,11,19,57.9
2003-04,Connecticut,W,50,21,47,44.7,8,19,42.1,28.80%,20,27,74.1
2003-04,Maryland,L,45.9,23,54,42.6,7,19,36.8,26.00%,17,26,65.4
2003-04,Georgia Tech,W,51.4,32,60,53.3,3,11,27.3,15.50%,30,44,68.2
2003-04,Miami,W,52.1,32,53,60.4,3,17,17.6,24.30%,16,24,66.7
2003-04,Kentucky,L,45.4,17,37,45.9,5,17,29.4,31.50%,7,9,77.8
2003-04,Coastal Carolina,W,63.6,30,53,56.6,8,13,61.5,19.70%,21,31,67.7
2003-04,UNC-Wilmington,W,47.5,14,36,38.9,10,25,40,41.00%,13,24,54.2
2003-04,Wake Forest,L,53.9,35,67,52.2,9,23,39.1,25.60%,17,31,54.8
2003-04,Akron,W,33.3,17,48,35.4,4,21,19,30.40%,18,28,64.3
2003-04,George Mason,W,67.2,31,49,63.3,8,15,53.3,23.40%,29,38,76.3
2003-04,Illinois,W,52.4,24,47,51.1,6,16,37.5,25.40%,22,28,78.6
2003-04,Cleveland State,W,43.2,29,63,46,2,11,18.2,14.90%,18,28,64.3
2003-04,Davidson,W,57.6,22,37,59.5,8,22,36.4,37.30%,23,37,62.2
2003-04,Old Dominion,W,62.5,36,53,67.9,1,7,14.3,11.70%,15,22,68.2
